# PLACEHOLDER catalogue: invented rows, not captured data. Replace with the real file (SPEC §12).
# category: warung sembako
# captured: placeholder
sku,name,unit,cost,price,tracks_stock,stock_on_hand,barcodes
W001,Indomie Goreng 85g,bungkus,2800,3500,true,5,8991128170404|8993976732452
W002,Indomie Ayam Bawang 85g,bungkus,2800,3500,true,10,8993077935837
W003,Indomie Soto 85g,bungkus,2800,3500,true,3,8998733020742
W004,Indomie Kari Ayam 85g,bungkus,2800,3500,true,12,8999870021029
W005,Indomie Rendang 85g,bungkus,2800,3500,true,6,8998716895701
W006,Indomie Goreng Aceh 85g,bungkus,2800,3500,true,20,8993545536245
W007,Indomie Ayam Geprek 85g,bungkus,2800,3500,true,3,8998343873486
W008,Indomie Goreng Rendang 85g,bungkus,2800,3500,true,48,8995332806722
W009,"Mie Sedaap Goreng ""Ayam Krispi"" 90g",bungkus,2800,3500,true,10,8990664988108
W010,Mie Sedaap Kuah Soto 90g,bungkus,2800,3500,true,12,8997341334814
W011,Mie Sedaap Goreng 90g,bungkus,2800,3500,true,10,8995387272367
W012,Mie Sedaap Kari Spesial 90g,bungkus,2800,3500,true,36,8995471825776
W013,Mie Sedaap Baso Spesial 90g,bungkus,2800,3500,true,20,8999221017343
W014,Mie Sedaap Goreng Korean 90g,bungkus,2800,3500,true,24,8996992464901
W015,Sarimi Isi 2 Mi Goreng,bungkus,3000,4000,true,48,8997366250137
W016,Sarimi Isi 2 Ayam Bawang,bungkus,3000,4000,true,0,8997323025808
W017,Sarimi Isi 2 Kaldu Ayam,bungkus,3000,4000,true,0,8997947695715
W018,Pop Mie Ayam Bawang 75g,cup,4500,5500,true,0,8996750497011
W019,Pop Mie Baso 75g,cup,4500,5500,true,12,8997643303662
W020,Supermi Ayam Bawang 70g,bungkus,2500,3000,true,20,8993801749686
W021,Susu Bendera Coklat 115ml x 6,pak,15000,18000,true,24,8991575026651
W022,Susu Bendera Strawberry 115ml x 6,pak,15000,18000,true,48,8992189654179
W023,Susu Bendera Vanilla 115ml x 6,pak,15000,18000,true,20,8994491434418
W024,Susu Bear Brand 189ml,kaleng,9500,11500,true,20,8994137444320
W025,Susu Ultra Coklat 250ml,kotak,6000,7500,true,48,8996670632264
W026,Susu Ultra Full Cream 250ml,kotak,6000,7500,true,12,8999017789423
W027,Susu Ultra Coklat 250ml x 12,dus,70000,82000,true,48,8998921505129
W028,Susu Kental Manis Frisian Flag 370g,kaleng,11000,13000,true,3,8993219328169
W029,Susu Kental Manis Indomilk 370g,kaleng,10500,12500,true,10,8997074625272
W030,Dancow Fortigro Coklat 400g,kotak,45000,52000,true,20,8997142918046
W031,SGM Eksplor 1+ 400g,kotak,42000,49000,true,6,8998822119562
W032,Milo Sachet 22g,sachet,2500,3000,true,6,8993198752009
W033,Milo Sachet 22g x 10,renceng,24000,28000,true,5,8997565710357
